_id,글램핑내부시설,기타부대시설,기타정보,기타주변이용가능시설,문의처,바닥형태(단위:면),사이트간격,사이트크기,안전시설현황,예약방법,운영기간,운영일,주변이용가능시설,주소,주요시설,카라반내부시설,캠프이름,캠핑장비대여,캠핑장유형,캠핑장환경,홈페이지,화로대
1011,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-375-7174,010-7942-8371",파쇄석 (20),,6 X 10 : 20개,소화기 (10),현장,"봄,여름,가을",평일+주말,어린이놀이시설,강원 영월군 주천면 평창강로 221,자동차야영장사이트(20면),,마루펜션캠핑장,,자동차야영장,강/민간,,개별
1013,,,반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,"잔디 (4)
파쇄석 (17)
테크 (4)",3M,,소화기 (25),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,해수욕",인천 강화군 길상면 장흥로101번길 6,일반야영장(25면) 자동차야영장사이트(25면),,마리원관광농원캠핑장,"릴선
화로대",일반야영장,"섬,숲,호수/민간",홈페이지바로가기새창으로,개별
1016,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"054-672-7362,010-6470-7362",맨흙 (15),,,소화기 (4),,여름,평일+주말,"계곡물놀이,산책로",경상북도 봉화군 소천면 고선리 510,일반야영장(15면),,마방캠핑장,,일반야영장,"산,숲,계곡/민간",,개별
1020,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4742-5492,,,,,온라인실시간예약,,,,울산광역시 북구 대안동  688,,,마운틴캠핑장,,자동차야영장,/민간,홈페이지바로가기새창으로,
1023,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-441-6066,010-5379-0943",파쇄석 (12) 테크 (16),,"6 X 10 : 12개
8 X 12 : 8개
6 X 12 : 8개",소화기 (20),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",강원도 화천군 사내면 포화로 653-76  마음이 머무는 곳,일반야영장(28면),,마음이머무는곳,,자동차야영장,산/민간,홈페이지바로가기새창으로,개별
1024,"침대
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-432-1182,테크 (36),,"7 X 8 : 25개
5 X 6 : 10개",소화기 (26) 화재감지기 (5),,"봄,여름,가을,겨울",평일+주말,운동장,전북 진안군 성수면 용포로 345,자동차야영장사이트(36면) 글램핑시설(5면),,마이산풍혈냉천캠핑장,,"일반야영장,글램핑","산,숲/민간",홈페이지바로가기새창으로,개별
1025,침대 TV 냉장고 취사도구 내부화장실,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-355-9988,,,,"소화기 (14)
화재감지기 (14)",,"봄,여름,가을,겨울",평일+주말,산책로,경남 밀양시 산외면 엄광리 1198-1,글램핑시설(14면),,마이웨이리조트관광농원,,"일반야영장,글램핑","산,숲/민간",홈페이지바로가기새창으로,개별
1027,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,070-8831-9099,,,,,전화,,,,충청남도 태안군 소원면 천리포1길 143-22  만리포몰디브,,,만리포몰디브,,일반야영장,/민간,,
1028,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-9961-1070,테크 (1),,,,전화,,평일+주말,,충청남도 태안군 소원면 모항리  1325-120,,,만리포미소카라반,,"일반야영장,카라반",해변/민간,홈페이지바로가기새창으로,개별
1029,,,반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-440-2562,,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,화천군 상서면 구운리 1174,,,만산동국민여가캠핑장,,자동차야영장,/지자체,홈페이지바로가기새창으로,개별
1030,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4765-1084,,,,,온라인예약대기,,,,부산광역시 기장군 장안읍 월내4길 56-17  만석꾼 캠핑장,,,만석꾼캠핑장,,자동차야영장,/민간,홈페이지바로가기새창으로,
1031,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,041-832-6561,,,,,,,,,충청남도 부여군 외산면 휴양로 107  만수산 자연휴양림,,,만수산자연휴양림,,일반야영장,/지자체,홈페이지바로가기새창으로,
1032,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,032-747-1144,테크 (23),,"5 X 4 : 13개
9 X 4 : 10개",소화기 (12),,"봄,여름,가을",평일+주말,낚시,인천광역시 중구 중산동  1853,자동차야영장사이트(23면),,만정캠핑장,,일반야영장,섬/민간,홈페이지바로가기새창으로,개별
1034,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"054-536-0803,010-9001-0071","파쇄석 (18)
테크 (5)",3M,"8 X 6 : 11개
6 X 10 : 10개
4 X 7 : 2개",소화기 (15),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경상북도 상주시 화서면 하송3길 178-5,일반야영장(23면),,맑은개울캠핑장,,일반야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1035,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4800-6405,"파쇄석 (6)
테크 (14)",3M,"2 X 3 : 14개
4 X 7 : 6개",소화기 (26),전화,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",충청북도 영동군 상촌면 물한계곡로 1212  맑은누리 캠핑장,일반야영장(20면),,맑은누리캠핑장,,자동차야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1038,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-8036-6891,,,,,전화,,평일+주말,,경기도 오산시 오산천로 52-0,,,맑음터공원캠핑장,,자동차야영장,도심/지자체,,개별
1039,,,반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,041-672-2231,,,,"소화기 (20)
방화수 (2)
화재감지기 (13)",,"봄,여름,가을",평일+주말,"산책로,수상레저,낚시,해수욕",충청남도 태안군 소원면 법산리  320 맘빌리지,카라반(12면),침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실,맘빌리지,화로대,"일반야영장,카라반","해변,숲/민간",홈페이지바로가기새창으로,개별
1040,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-539-3618,,,,,"전화,온라인실시간예약","봄,여름,가을,겨울",평일+주말,"수상레저,낚시,해수욕",강원도 동해시 망상동  393-97,일반야영장(56면) 카라반(41면),침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실 내부샤워실,망상오토캠핑리조트제2오토캠핑장,,"자동차야영장,카라반",해변/지자체,홈페이지바로가기새창으로,개별
1042,,"키즈카페,도서실,",개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-761-2282,010-4210-1339","잔디 (4)
파쇄석 (56)",,,소화기 (50),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",강원도 원주시 신림면 황둔리  1625-1,자동차야영장사이트(60면),,매봉힐링쉼터오토캠핑장,"릴선
화로대
난방기구
식기
침낭",일반야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1043,,"족구장, 축구장, 배드민턴",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-6255-4494,파쇄석 (29),,6 X 10 : 29개,소화기 (8) 방화사 (2),"전화,온라인실시간예약","봄,여름,가을",평일+주말,"계곡물놀이,어린이놀이시설",강원도 철원군 근남면 하오재로 1531  매일민박캠핑장,일반야영장(29면),,매일민박캠핑장,,자동차야영장,계곡/민간,홈페이지바로가기새창으로,개별
1045,TV 에어컨 냉장고 난방기구,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"041-672-0109,010-5281-7084",,,,"소화기 (10)
화재감지기 (9)",,"봄,여름,가을,겨울",평일+주말,청소년체험시설,충청남도 태안군 원북면 동해리  779-8,글램핑시설(9면),,매화둠벙마을영농조합법인,"텐트
화로대
난방기구
식기","일반야영장,글램핑","산,숲/민간",,개별
1051,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-7226-0430,파쇄석 (20) 테크 (20),,4 X 6 : 40개,"소화기 (25)
방화사 (3)","전화,온라인예약대기,현장","봄,여름,가을,겨울",평일+주말,계곡물놀이,경기도 포천시 일동면 수입리 700-8,자동차야영장사이트(40면),,메가카라반글램핑관광농원,,일반야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1055,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-851-1185,,,,,온라인실시간예약,,,,충청북도 충주시 살미면 신당리  128,,,멤피스글램핑,,자동차야영장,/민간,홈페이지바로가기새창으로,
1057,"침대
에어컨
냉장고
유무선인터넷
난방기구",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-531-5651,파쇄석 (4) 테크 (11),,5 X 7 : 15개,"소화기 (15)
화재감지기 (16)",,"봄,여름,가을,겨울",평일+주말,"산책로,운동장,강/물놀이,농어촌체험시설",경기도 포천시 화현면 명덕리  10-8,일반야영장(15면) 글램핑시설(16면),,캠핑플래닛(구명덕관광농원),,"일반야영장,글램핑","산,숲/민간",홈페이지바로가기새창으로,개별
1061,침대 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-536-4066,,,,"소화기 (13)
화재감지기 (13)",전화,"봄,여름,가을",평일+주말,,경기도 포천시 영북면 산정호수로  1017,글램핑시설(10면),,명성산글램핑,,"일반야영장,글램핑","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1065,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-582-0008,"파쇄석 (41)
테크 (41)",5M,5 X 8 : 15개,,,"봄,여름,가을,겨울",주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경기도 가평군 북면 적목리  85-7,일반야영장(2면) 글램핑시설(15면) 카라반(26면),"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",명지산카라반오토캠핑장,화로대,"일반야영장,자동차야영장,카라반,글램핑","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1066,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (35),,6 X 7 : 35개,소화기 (10),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,강/물놀이",경기도 파주시 파주읍 향양리  4-1 명학산 캠프(캠핑장),일반야영장(35면),,명학산캠핑장,,자동차야영장,"산,숲/민간",홈페이지바로가기새창으로,개별
1070,,카페,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-543-4035,"파쇄석 (30)
테크 (20)",3M,,소화기 (50),,"봄,여름,가을,겨울",평일+주말,"산책로,낚시",전북 김제시 금산면 모악로 167-16,일반야영장(50면),,모꼬지캠핑장,,일반야영장,/민간,,개별
1075,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-838-7780,,,,,온라인실시간예약,,,,충북 괴산군 사리면 모래재로 483-12,,,모래재캠핑장,,일반야영장,해변/민간,홈페이지바로가기새창으로,
1076,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (36),,7 X 8 : 36개,소화기 (20),,"봄,여름,가을,겨울",평일+주말,계곡물놀이,강원도 횡성군 청일면 신대리  115-7,일반야영장(36면),,모야의숲캠핑장,,자동차야영장,"산,계곡/민간",홈페이지바로가기새창으로,개별
1095,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4786-3300,,,,"소화기 (60)
화재감지기 (56)","전화,온라인예약대기,온라인실시간예약,현장","봄,여름,가을,겨울",평일+주말,"산책로,수상레저,낚시,해수욕",충청남도 태안군 남면 신장리 353-148,카라반(29면),침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실 내부샤워실,"블루오션리조트,오션파크(몽산포홀리데이파크)",화로대,"일반야영장,카라반",해변/민간,홈페이지바로가기새창으로,개별
1096,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"054-633-6699,010-5098-5607",파쇄석 (7),3M,"11 X 4 : 3개
7 X 6 : 1개
8 X 5 : 3개",소화기 (3),,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,어린이놀이시설",경상북도 영주시 풍기읍 삼가로 423  묘솔 캠핑장,자동차야영장사이트(7면),,묘솔캠핑장,,일반야영장,/민간,홈페이지바로가기새창으로,개별
1097,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구",,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-645-5997,테크 (4),3M,7 X 5 : 4개,"소화기 (12)
방화수 (2)
방화사 (1)
화재감지기 (7)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",충북 제천시 송학면 무도리 573번지,일반야영장(4면) 글램핑시설(7면),,무도글램핑,화로대,"자동차야영장,글램핑",숲/민간,홈페이지바로가기새창으로,개별
1100,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-539-3700,테크 (62),,"36 X 5 : 54개
4 X 6 : 8개
4 X 6 : 50개",소화기 (34),온라인실시간예약,"봄,여름,가을",평일+주말,"계곡물놀이,산책로",강원도 동해시 삼화로 467 무릉계곡 힐링캠프장,일반야영장(62면),,무릉계곡힐링캠핑장,,자동차야영장,"산,계곡/지자체",홈페이지바로가기새창으로,개별
1101,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-7166-4698,파쇄석 (25) 맨흙 (15),,"6 X 8 : 20개
6 X 10 : 20개","소화기 (15)
방화사 (5)","전화,온라인실시간예약","봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,청소년체험시설",경상남도 양산시 원동면 영포리  702-2,일반야영장(40면),,무릉도원오토캠핑장,,"일반야영장,자동차야영장","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1102,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (40),,,소화기 (20),현장,"봄,여름,가을",평일+주말,계곡물놀이,강원도 영월군 무릉도원면 운학리 627-9번지,일반야영장(40면),,무릉도원캠핑장,,자동차야영장,계곡/민간,,개별
1107,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-450-5636,"잔디 (20)
테크 (22)",3M,"6 X 8 : 37개
6 X 10 : 5개",소화기 (37) 방화수 (3) 방화사 (2),,"봄,여름,가을,겨울",평일+주말,"낚시,해수욕",전남 무안군 해제면 만송로 36,일반야영장(37면) 자동차야영장사이트(37면) 카라반(14면) 개인카라반사이트(5면),,무안황토갯벌랜드오토캠핑장,,"일반야영장,카라반",해변/지자체,홈페이지바로가기새창으로,공동취사장
1111,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-322-2509,,,,,,,,,전라북도 무주군 설천면 심곡리  461-1,,,보보캠핑(무주계곡오토캠핑장),,자동차야영장,/민간,홈페이지바로가기새창으로,
1112,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-322-5632,자갈 (27),,8 X 5 : 27개,소화기 (26),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,계곡물놀이,전라북도 무주군 설천면 심곡리  270,일반야영장(27면),,무주구천동캠핑장,,"일반야영장,자동차야영장",/민간,홈페이지바로가기새창으로,개별
1113,침대 TV 에어컨 냉장고 유무선인터넷 난방기구,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,,,,"소화기 (21)
화재감지기 (21)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,계곡물놀이,전라북도 무주군 설천면 삼공리  524-12,글램핑시설(21면),,무주글램핑,,글램핑,"산,계곡/민간",홈페이지바로가기새창으로,
1114,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-5207-4803,테크 (7) 맨흙 (5),,3 X 3 : 7개,소화기 (4),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",전북 무주군 안성면 원통사로 294,일반야영장(5면) 자동차야영장사이트(7면) 개인카라반사이트(6면),,무주솔밭야영장,,"일반야영장,자동차야영장,카라반","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1115,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-322-0080,파쇄석 (41),,"7 X 9 : 2개
8 X 8 : 4개
9 X 9 : 3개","소화기 (35)
화재감지기 (11)",,"봄,여름,가을,겨울",평일+주말,계곡물놀이,전북 무주군 설천면 구천동로 1092-34,일반야영장(41면) 글램핑시설(10면),,무주수목원캠핑장,,"일반야영장,글램핑","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1116,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-322-7111,,,,"소화기 (3)
화재감지기 (3)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,전라북도 무주군 설천면 심곡리  474-2,카라반(5면),침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실,무주카라반,,"일반야영장,카라반",계곡/민간,홈페이지바로가기새창으로,불가
1117,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-323-9000,테크 (8) 자갈 (13),,"4 X 8 : 13개
3 X 5 : 8개",소화기 (9),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",전라북도 무주군 안성면 공정리  1304,일반야영장(21면),,무주홀리데이파크,,일반야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1118,,배전반 10개소,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"031-581-3177,010-8876-2340",,,,소화기 (20),현장,"봄,여름,가을",주말,"계곡물놀이,낚시,어린이놀이시설",경기도 가평군 북면 가화로 1725  무지개서는 마을,일반야영장(50면) 자동차야영장사이트(50면),,무지개서는마을,,"일반야영장,자동차야영장","산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1119,,"탁구대,족구장",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"032-887-7677,010-9260-2240",파쇄석 (25),,4 X 6 : 25개,소화기 (15),,"봄,가을,겨울",평일+주말,"낚시,해수욕",인천 옹진군 영흥면 영흥남로9번길 355-20,일반야영장(25면),,무지개펜션&캠핑,,자동차야영장,섬/민간,홈페이지바로가기새창으로,개별
1121,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"041-934-6362,010-2725-4005",,,,"소화기 (9)
화재감지기 (9)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,해수욕",충청남도 보령시 웅천읍 동뒤마을길 49-24,카라반(9면),침대 TV 에어컨 냉장고 유무선인터넷 난방기구 취사도구 내부화장실,무창포카라반파크,,카라반,해변/민간,홈페이지바로가기새창으로,개별
1125,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (20) 테크 (5),,"8 X 5 : 3개
6 X 8 : 20개
5 X 5 : 2개",소화기 (20),,"봄,여름,가을,겨울",평일+주말,계곡물놀이,전북 순창군 구림면 안정리 233,일반야영장(20면),,회문랜드오토캠핑장(구묵림산방),,일반야영장,"산,숲,계곡/민간",홈페이지바로가기새창으로,개별
1127,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"054-554-3911,010-3939-3966",잔디 (20) 테크 (10),,6 X 6 : 30개,"소화기 (25)
방화수 (1)
방화사 (1)
화재감지기 (5)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경상북도 문경시 진남3길 6-0  문경오토캠핑장,일반야영장(30면),,문경레저투어캠핑장,"텐트
화로대
식기
침낭",일반야영장,"숲,강/민간",홈페이지바로가기새창으로,개별
1128,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-572-3762,,,,,현장,"봄,여름,가을,겨울",평일+주말,,경상북도 문경시 문경읍 하초리  365,일반야영장(76면) 카라반(9면),침대 TV 에어컨 냉장고 취사도구,문경새재국민여가캠핑장,,카라반,"산,숲/지자체",홈페이지바로가기새창으로,개별
1129,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4502-6673,파쇄석 (44),3M,9 X 9 : 44개,소화기 (22),온라인실시간예약,"봄,여름,가을",주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경상북도 문경시 가은읍 작약로 576,자동차야영장사이트(44면),,문경수예리오토캠핑장,,일반야영장,숲/민간,홈페이지바로가기새창으로,개별
1131,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-572-3247,"잔디 (6)
테크 (2)
자갈 (27)",3M,6 X 8 : 35개,소화기 (20),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경상북도 문경시 가은읍 죽문리 441,일반야영장(35면),,문경히든벨리오토캠핑장,,일반야영장,"숲,계곡/민간",홈페이지바로가기새창으로,개별
1132,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,"잔디 (5)
파쇄석 (15)",9M,,소화기 (20),,"봄,여름,가을,겨울",주말,"산책로,낚시,해수욕,강/물놀이",인천광역시 강화군 길상면 해안남로 654  문라이트캠핑장,일반야영장(20면) 자동차야영장사이트(20면),,문라이트캠핑장,"릴선
화로대",자동차야영장,해변/민간,홈페이지바로가기새창으로,개별
1133,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"070-4403-7655,010-6278-7796",테크 (20),,6 X 8 : 20개,소화기 (20),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",강원도 춘천시 서백길 691-83  문배골 캠핑장,일반야영장(20면),,문배골캠핑장,,자동차야영장,"산,숲,계곡/민간",홈페이지바로가기새창으로,개별
